2026-04-07 17:08:03 | Candidat ID: 6 | Session: 70 | Action: Infraction détectée | Total infractions: 1
2026-04-07 17:08:03 | Candidat ID: 6 | Session: 70 | Action: Infraction détectée | Total infractions: 2
2026-04-07 17:08:14 | Candidat ID: 6 | Session: 70 | Action: Infraction détectée | Total infractions: 3
2026-04-07 17:10:59 | Candidat ID: 6 | Session: 70 | Action: Infraction détectée | Total infractions: 4
2026-04-08 15:07:19 | Candidat ID: 6 | Session: 75 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-04-08 15:08:12 | Candidat ID: 6 | Session: 75 | Action: Sortie de la fenêtre d'examen | Total infractions: 2
2026-04-09 11:49:15 | Candidat ID: 1 | Session: 48 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-04-09 11:50:17 | Candidat ID: 25 | Session: 48 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-04-09 11:53:26 | Candidat ID: 25 | Session: 49 | Action: Infraction détectée | Total infractions: 1
2026-04-09 11:53:27 | Candidat ID: 25 | Session: 49 | Action: Infraction détectée | Total infractions: 2
2026-04-09 11:53:48 | Candidat ID: 1 | Session: 49 | Action: Infraction détectée | Total infractions: 1
2026-04-09 11:54:26 | Candidat ID: 25 | Session: 49 | Action: Infraction détectée | Total infractions: 3
2026-04-09 11:54:26 | Candidat ID: 25 | Session: 49 | Action: Infraction détectée | Total infractions: 4
2026-04-09 11:55:09 | Candidat ID: 25 | Session: 49 | Action: Infraction détectée | Total infractions: 5
2026-04-09 11:55:37 | Candidat ID: 25 | Session: 49 | Action: Infraction détectée | Total infractions: 6
2026-04-09 13:16:50 | Candidat ID: 31 | Session: 87 | Action: Infraction détectée | Total infractions: 1
2026-04-09 13:39:59 | Candidat ID: 29 | Session: 85 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-04-16 18:38:33 | Candidat ID: 15 | Session: 4 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-04-16 18:38:39 | Candidat ID: 15 | Session: 4 | Action: Sortie de la fenêtre d'examen | Total infractions: 2
2026-04-16 18:39:35 | Candidat ID: 15 | Session: 4 | Action: Clic droit interdit | Total infractions: 3
2026-04-16 19:34:53 | Candidat ID: 3 | Session: 8 | Action: Clic droit interdit | Total infractions: 1
2026-04-16 19:35:01 | Candidat ID: 3 | Session: 8 | Action: Sortie de la fenêtre d'examen | Total infractions: 2
2026-04-16 19:35:15 | Candidat ID: 3 | Session: 8 | Action: Clic droit interdit | Total infractions: 3
2026-04-17 08:49:09 | Candidat ID: 8 | Session: 2 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-04-17 09:14:14 | Candidat ID: 8 | Session: 3 | Action: Infraction détectée | Total infractions: 1
2026-04-17 10:11:04 | Candidat ID: 8 | Session: 3 | Action: Infraction détectée | Total infractions: 2
2026-04-17 10:14:10 | Candidat ID: 8 | Session: 3 | Action: Infraction détectée | Total infractions: 1
2026-04-17 11:06:43 | Candidat ID: 8 | Session: 3 | Action: Infraction détectée | Total infractions: 1
2026-04-17 11:06:44 | Candidat ID: 8 | Session: 3 | Action: Infraction détectée | Total infractions: 2
2026-04-17 11:08:17 | Candidat ID: 8 | Session: 3 | Action: Infraction détectée | Total infractions: 3
